,company,Date,Open,High,Low,Close,No. of Shares
5106,BOMDYEING,2023-08-30,136.5500,138.5500,133.6000,134.1500,98500
5107,BOMDYEING,2023-08-29,134.1000,138.1000,133.4000,135.1500,207629
5108,BOMDYEING,2023-08-28,136.5500,136.9000,133.3000,135.6000,140744
5109,BOMDYEING,2023-08-25,138.0500,139.0000,132.0000,135.2000,227953
5110,BOMDYEING,2023-08-24,138.0500,141.7000,136.2500,139.3500,314100
5111,BOMDYEING,2023-08-23,137.3000,143.3500,135.7500,138.7000,550928
5112,BOMDYEING,2023-08-22,138.3500,140.0000,135.9500,137.8500,352331
5113,BOMDYEING,2023-08-21,128.4500,139.0000,126.8000,137.7500,561443
5114,BOMDYEING,2023-08-18,130.6500,131.0000,125.6000,126.4000,730750
5115,BOMDYEING,2023-08-17,133.7000,134.3000,128.7000,130.6500,420622
5116,BOMDYEING,2023-08-16,132.0000,135.0000,128.0500,133.7000,703521
5117,BOMDYEING,2023-08-14,123.0000,133.1000,119.2000,131.4000,1347662
5118,BOMDYEING,2023-08-11,116.4500,124.8500,115.4000,122.4500,969994
5119,BOMDYEING,2023-08-10,115.4500,120.4500,112.6000,116.4500,701014
5120,BOMDYEING,2023-08-09,112.5500,120.4000,112.5500,115.6000,739440
5121,BOMDYEING,2023-08-08,115.9000,115.9000,112.1500,112.5500,121317
5122,BOMDYEING,2023-08-07,113.0000,117.8000,112.0000,115.2500,221611
5123,BOMDYEING,2023-08-04,111.5000,113.3000,111.5000,112.3500,127105
5124,BOMDYEING,2023-08-03,110.0500,111.7000,109.7500,111.1000,160078
5125,BOMDYEING,2023-08-02,114.2500,115.9000,108.4000,110.3000,200660
5126,BOMDYEING,2023-08-01,113.6000,115.5000,113.1500,114.0000,144020
5127,BOMDYEING,2023-07-31,111.3000,117.6000,111.3000,113.0000,513215
5128,BOMDYEING,2023-07-28,112.6000,114.0500,110.5500,111.8000,123559
5129,BOMDYEING,2023-07-27,112.1000,112.8500,110.3500,111.1500,113621
5130,BOMDYEING,2023-07-26,113.2000,115.4500,111.7500,112.1500,92858
5131,BOMDYEING,2023-07-25,113.0000,115.0000,112.2000,113.2000,256686
5132,BOMDYEING,2023-07-24,116.3500,116.7000,112.5000,113.5000,170031
5133,BOMDYEING,2023-07-21,112.7000,116.4500,109.4000,115.4000,265249
5134,BOMDYEING,2023-07-20,112.2000,113.4000,111.0000,111.5500,142185
5135,BOMDYEING,2023-07-19,113.7500,114.4500,111.6000,112.2000,233021
5136,BOMDYEING,2023-07-18,115.5000,115.8000,111.5500,113.0000,208609
5137,BOMDYEING,2023-07-17,114.0000,117.8000,113.7000,115.5000,387735
