Company,Open,High,Low,Close,No. of Shares
TATAMOTORS.BO,445.20001220703125,449.25,440.8999938964844,447.95001220703125,491814
TATAMOTORS.BO,408.5,408.5,394.75,403.8500061035156,1600695
TATAMOTORS.BO,421.1000061035156,431.1000061035156,419.70001220703125,421.6000061035156,693741
TATAMOTORS.BO,428.29998779296875,433.79998779296875,424.5,432.3500061035156,745310
TATAMOTORS.BO,390.1000061035156,392.95001220703125,376.70001220703125,382.75,1356242
TATAMOTORS.BO,411.6000061035156,415.0,404.79998779296875,408.3500061035156,386582
TATAMOTORS.BO,443.0,453.75,443.0,450.8999938964844,2862066
TATAMOTORS.BO,451.1000061035156,480.8999938964844,451.1000061035156,479.25,6640257
TATAMOTORS.BO,491.1000061035156,494.5,484.04998779296875,485.3999938964844,545795
TATAMOTORS.BO,464.0,474.3999938964844,462.29998779296875,466.75,512381
TATAMOTORS.BO,452.04998779296875,455.70001220703125,445.3500061035156,447.0,759432
TATAMOTORS.BO,409.3999938964844,413.3500061035156,399.5,402.29998779296875,693454
TATAMOTORS.BO,405.1499938964844,409.0,395.3500061035156,396.20001220703125,490498
TATAMOTORS.BO,413.5,416.1499938964844,411.3500061035156,412.6000061035156,438862
TATAMOTORS.BO,435.0,438.5,434.25,437.04998779296875,764416
TATAMOTORS.BO,432.8999938964844,437.8500061035156,429.54998779296875,433.04998779296875,402818
TATAMOTORS.BO,419.5,421.29998779296875,417.29998779296875,418.5,305690
TATAMOTORS.BO,392.0,397.20001220703125,388.25,394.1499938964844,1102815
TATASTEEL.BO,64.4000015258789,64.95500183105469,64.04499816894531,64.30999755859375,5625570
TATASTEEL.BO,71.0,72.1449966430664,69.80000305175781,70.55500030517578,9214140
TATASTEEL.BO,60.400001525878906,63.9900016784668,59.744998931884766,63.6150016784668,11979800
TATASTEEL.BO,68.79499816894531,68.79499816894531,66.95500183105469,67.18499755859375,4228060
TATASTEEL.BO,72.58999633789062,73.81500244140625,71.18000030517578,73.0199966430664,7645150
TATASTEEL.BO,74.0,74.05500030517578,71.94999694824219,72.40499877929688,5384750
TATASTEEL.BO,79.3550033569336,82.3499984741211,78.94499969482422,81.19499969482422,12519510
TATASTEEL.BO,90.4000015258789,91.41000366210938,88.6500015258789,88.95999908447266,7458380
TATASTEEL.BO,103.49500274658203,107.0,101.84500122070312,106.45500183105469,10524340
TATASTEEL.BO,117.19999694824219,119.62000274658203,115.70500183105469,117.94999694824219,11406120
TATASTEEL.BO,112.80000305175781,112.80000305175781,108.55000305175781,110.02999877929688,9399780
TATASTEEL.BO,117.0,118.63999938964844,116.05999755859375,117.44499969482422,5776660
TATASTEEL.BO,118.5999984741211,119.5,116.55000305175781,117.24500274658203,6750520
