Date,Open,High,Low,Close,No. of Shares
2019-05-30,1200.0558,1221.9803,1199.6912,1213.0008,514114
2019-05-29,1205.3888,1215.3255,1189.2076,1197.1842,413886
2019-05-28,1200.7851,1216.8296,1197.9135,1208.7618,568378
2019-05-27,1217.9236,1218.8352,1192.3982,1194.8596,611906
2019-05-24,1230.5951,1233.8769,1200.2382,1218.6529,885543
2019-05-23,1248.9186,1268.9743,1207.3944,1217.7413,1242992
2019-05-22,1229.7746,1238.8908,1216.5561,1222.2082,642144
2019-05-21,1211.8157,1245.5001,1211.8157,1221.3421,1970347
2019-05-20,1197.7768,1218.3794,1187.4755,1208.3516,2152893
2019-05-17,1155.9335,1164.0469,1144.0824,1153.8367,543581
2019-05-16,1149.5521,1158.0758,1146.5894,1152.3326,446322
2019-05-15,1162.1325,1164.9585,1140.5271,1146.1335,698598
2019-05-14,1126.0323,1157.3009,1123.1152,1148.1847,868599
