Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-April-2017,12.96,12.96,12.51,12.57,12.705372065260644647,37695,95,478929.00,37695,100.00,0.45,-0.39
18-April-2017,13.40,13.53,12.80,13.00,13.319985726441766627,182155,215,2426302.00,182155,100.00,0.73,-0.40
17-April-2017,12.30,12.89,12.22,12.89,12.681616395904826183,105197,178,1334068.00,105197,100.00,0.67,0.59
13-April-2017,12.95,13.00,12.05,12.28,12.330808966178154874,42783,84,527549.00,42783,100.00,0.95,-0.67
12-April-2017,11.69,12.69,11.69,12.47,12.129160095434510089,49458,124,599884.00,49458,100.00,1.00,0.78
11-April-2017,13.25,13.25,12.20,12.30,12.535271299823469292,86104,199,1079337.00,86104,100.00,1.05,-0.95
10-April-2017,13.50,13.50,12.80,12.84,13.140651927199361102,95164,167,1250517.00,95164,100.00,0.70,-0.66
7-April-2017,13.40,13.45,12.61,13.28,13.138710486703462117,39860,171,523709.00,39860,100.00,0.84,-0.12
6-April-2017,12.00,12.90,12.00,12.86,12.806495956780683274,290981,185,3726447.00,290981,100.00,0.90,0.86
5-April-2017,12.70,12.70,12.16,12.29,12.348202738488699115,48713,77,601518.00,48713,100.00,0.54,-0.41
3-April-2017,12.05,12.25,11.82,12.18,12.039343447854167462,52334,97,630067.00,52334,100.00,0.43,0.13
31-March-2017,12.65,12.80,12.21,12.35,12.539974022483987996,44654,99,559960.00,44654,100.00,0.59,-0.30
30-March-2017,12.80,12.80,12.33,12.67,12.669356406766478708,51430,92,651585.00,51430,100.00,0.47,-0.13
29-March-2017,12.80,12.80,12.26,12.71,12.760496488932795770,299624,180,3823351.00,299624,100.00,0.54,-0.09
28-March-2017,12.80,12.80,12.80,12.80,12.800000000000000000,18965,41,242752.00,18965,100.00,0.00,0.00
27-March-2017,12.80,12.80,12.80,12.80,12.799983202452441943,23813,38,304806.00,23813,100.00,0.00,0.00
24-March-2017,12.25,12.60,11.92,12.60,12.442397211336523264,92374,83,1149354.00,92374,100.00,0.68,0.35
23-March-2017,12.00,12.25,11.91,12.00,12.120719555568619382,34021,92,412359.00,34021,100.00,0.34,0.00
22-March-2017,12.00,12.38,11.75,12.20,12.082011941250465070,56443,127,681945.00,56443,100.00,0.63,0.20
21-March-2017,12.50,12.78,12.05,12.06,12.187424768108758762,42369,155,516369.00,42369,100.00,0.73,-0.44
20-March-2017,12.80,12.95,12.40,12.55,12.739459588459906661,75424,148,960861.00,75424,100.00,0.55,-0.25
17-March-2017,13.25,13.50,12.94,12.95,13.087975727651327249,86683,185,1134505.00,86683,100.00,0.56,-0.30
16-March-2017,13.88,14.10,13.15,13.62,13.716324422924742143,149114,307,2045296.00,102659,68.85,0.95,-0.26
15-March-2017,14.21,14.47,13.22,13.55,13.855465271788282043,286381,702,3967942.00,241555,84.35,1.25,-0.66
14-March-2017,14.90,15.49,14.35,14.68,14.979849625028785099,620981,818,9302202.00,478561,77.07,1.14,-0.22
10-March-2017,13.00,14.62,13.00,14.46,13.978035668730270319,2054012,2062,28711053.00,1421224,69.19,1.62,1.46
9-March-2017,10.64,12.61,10.60,12.54,12.316902015433105397,1450259,1486,17862698.00,1175323,81.04,2.01,1.90
8-March-2017,10.00,10.70,9.67,10.51,10.294873102920545848,156820,338,1614442.00,143920,91.77,1.03,0.51
7-March-2017,9.67,10.24,9.63,10.00,10.000559892998227005,289341,302,2893572.00,265194,91.65,0.61,0.33
6-March-2017,9.50,10.00,9.22,9.67,9.783546652839560079,146572,366,1433994.00,137474,93.79,0.78,0.17
3-March-2017,9.00,9.45,8.91,9.14,9.087444457103794007,17554,43,159521.00,13619,77.58,0.54,0.14
2-March-2017,9.02,9.40,8.83,9.03,9.119936833793920252,25330,51,231008.00,24720,97.59,0.57,0.01
1-March-2017,9.40,9.44,9.20,9.26,9.348917390704730382,14502,38,135578.00,14379,99.15,0.24,-0.14
28-February-2017,9.40,9.46,9.08,9.08,9.164825289422212824,18917,66,173371.00,18368,97.10,0.38,-0.32
27-February-2017,8.51,9.80,8.51,9.15,9.378717971039726067,34461,100,323200.00,25575,74.21,1.29,0.64
23-February-2017,9.10,9.35,9.10,9.20,9.222930342234401886,15691,45,144717.00,13491,85.98,0.25,0.10
22-February-2017,9.84,9.84,9.30,9.36,9.434020210025757875,20188,52,190454.00,15918,78.85,0.54,-0.48
21-February-2017,8.61,9.60,8.61,9.54,9.324214820610260422,71576,116,667390.00,69381,96.93,0.99,0.93
20-February-2017,9.00,9.10,8.81,8.86,8.952773864627356275,14907,52,133459.00,14707,98.66,0.29,-0.14
17-February-2017,9.00,9.28,8.71,8.97,8.974024654565158493,29528,53,264985.00,22134,74.96,0.57,-0.03
16-February-2017,8.90,9.32,8.63,8.68,8.900176746330592484,13013,35,115818.00,12709,97.66,0.69,-0.22
15-February-2017,9.25,9.25,8.82,8.85,8.902569657579587169,16617,45,147934.00,16017,96.39,0.43,-0.40
14-February-2017,9.02,9.49,8.95,9.00,9.127991354021923730,25908,45,236488.00,24688,95.29,0.54,-0.02
13-February-2017,9.30,9.90,8.93,9.29,9.317200664165795461,32522,54,303014.00,29859,91.81,0.97,-0.01
10-February-2017,9.45,9.45,9.10,9.10,9.113806623258419099,28566,38,260345.00,28216,98.77,0.35,-0.35
9-February-2017,9.11,9.65,9.10,9.12,9.228177532263441116,41998,97,387565.00,29758,70.86,0.55,0.01
8-February-2017,9.25,9.25,9.00,9.25,9.102944180210673747,34271,72,311967.00,32351,94.40,0.25,0.00
7-February-2017,9.00,9.30,9.00,9.23,9.167923169267707082,20825,60,190922.00,18259,87.68,0.30,0.23
6-February-2017,9.83,9.83,9.03,9.30,9.468170277432865694,53959,97,510893.00,43662,80.92,0.80,-0.53
3-February-2017,9.49,9.49,8.81,9.05,9.147411140930811023,15277,53,139745.00,14163,92.71,0.68,-0.44
2-February-2017,9.06,9.20,8.91,8.91,9.044403528303502611,23354,35,211223.00,23354,100.00,0.29,-0.15
1-February-2017,9.50,9.50,9.00,9.06,9.111433639735526527,24804,56,226000.00,21048,84.86,0.50,-0.44
